LOINC_Code_,LOINC_Description,LOINC_Class
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,Chem
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Chem
